018a1dfd, 49.0660192173117, 167.620199989438
018a2d70, -710.018353256883, 450.603574397522
018a26ba, -578.426577048806, 531.703779021524
018a343d, -307.194874087519, -19.2930821944724
018a2933, -497.635830734453, -74.6757715522716
018a2adf, -771.473962669502, -181.048978931335
018a3195, -874.137120997509, -218.709820878551
018a4759, -1066.27463321976, -218.769416775554
018a2167, -1065.89516015324, -346.71487533779
018a47e0, -856.789599975204, -484.352179057933
018a2136, -702.807294180922, -416.939887100794
018a2123, -573.593087738117, -416.939887100794
018a1e13, -446.174068948162, -416.939887100794
018a4741, -187.549392806374, -416.939887100794
018a461f, -59.3032720194811, -416.939887100794
018a27a2, 196.125230732452, -416.939887100794
018317c3, 325.628212421831, -416.939887100794
018a242d, 879.151948558322, -496.409638403003
018a29bd, 1053.5378047142, -425.157925599433
018a2e6d, 1053.14375601796, -304.547605770161
018a29cc, 1054.51777240343, -185.808533676225
018a44b5, 868.969853590524, -78.1310001376688
018a1f05, 644.815621199262, 9.39864252343264
018a27f4, 982.247898814694, 138.243835520825
018a271b, 625.641016189154, 137.508559052495
018a1df9, 175.1117790718, 137.508559052495
018a2154, 1181.46936236286, 314.883215922232
018a315a, 579.596597245184, 530.543557760531
